token,label,start_char,end_char,context
Harry Potter,PERSON,0,12,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
the Sorcerer's Stone CHAPTER,ORG,17,45,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
ONE,CARDINAL,46,49,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
Dursley,PERSON,81,88,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
four,CARDINAL,100,104,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
Privet Drive,LOC,106,118,"Harry Potter and the Sorcerer's Stone CHAPTER ONE THE BOY WHO LIVED Mr. and Mrs. Dursley, of number four, Privet Drive, were proud to say that they were perfectly normal, thank you very much."
Dursley,PERSON,4,11,"Mr. Dursley was the director of a firm called Grunnings, which made drills."
Grunnings,PERSON,46,55,"Mr. Dursley was the director of a firm called Grunnings, which made drills."
Dursley,PERSON,5,12,"Mrs. Dursley was thin and blonde and had nearly twice the usual amount of neck, which came in very useful as she spent so much of her time craning over garden fences, spying on the neighbors."
Dursleys,PERSON,4,12,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.
Dudley,PERSON,36,42,The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.
Dursleys,PERSON,4,12,"The Dursleys had everything they wanted, but they also had a secret, and their greatest fear was that somebody would discover it."
Potters,PERSON,67,74,They didn't think they could bear it if anyone found out about the Potters.
Potter,PERSON,5,11,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be."
Dursley,PERSON,21,28,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be."
several years,DATE,63,76,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be."
Dursley,PERSON,92,99,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be."
unDursleyish,NORP,196,208,"Mrs. Potter was Mrs. Dursley's sister, but they hadn't met for several years; in fact, Mrs. Dursley pretended she didn't have a sister, because her sister and her good-for-nothing husband were as unDursleyish as it was possible to be."
Dursleys,PERSON,4,12,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.
Potters,PERSON,68,75,The Dursleys shuddered to think what the neighbors would say if the Potters arrived in the street.
Dursleys,PERSON,4,12,"The Dursleys knew that the Potters had a small son, too, but they had never even seen him."
Potters,PERSON,27,34,"The Dursleys knew that the Potters had a small son, too, but they had never even seen him."
Potters,PERSON,49,56,This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.
Dudley,PERSON,80,86,This boy was another good reason for keeping the Potters away; they didn't want Dudley mixing with a child like that.
